Date,Open,High,Low,Close,Adj Close,Volume,Day
2020-08-11,111.970001,112.482498,109.107498,109.375,107.891457,187902400,1385
2020-08-12,110.497498,113.275002,110.297501,113.010002,111.477142,165598000,1386
2020-08-13,114.43,116.042503,113.927498,115.010002,113.45002,210082000,1387
2020-08-14,114.830002,115,113.044998,114.907501,113.348907,165565200,1388
2020-08-17,116.0625,116.087502,113.962502,114.607498,113.052979,119561600,1389
2020-08-18,114.352501,116,114.0075,115.5625,113.995041,105633600,1390
2020-08-19,115.982498,117.162498,115.610001,115.707497,114.138069,145538000,1391
2020-08-20,115.75,118.392502,115.732498,118.275002,116.670753,126907200,1392
2020-08-21,119.262497,124.8675,119.25,124.370003,122.683067,338054800,1393
2020-08-24,128.697495,128.785004,123.9375,125.857498,124.150398,345937600,1394
2020-08-25,124.697502,125.18,123.052498,124.824997,123.131889,211495600,1395
2020-08-26,126.18,126.9925,125.082497,126.522499,124.806358,163022400,1396
2020-08-27,127.142502,127.485001,123.832497,125.010002,123.314392,155552400,1397
2020-08-28,126.012497,126.442497,124.577499,124.807503,123.114647,187630000,1398
2020-08-31,127.580002,131,126,129.039993,127.289734,225702700,1399
2020-09-01,132.759995,134.800003,130.529999,134.179993,132.359985,151948100,1400
2020-09-02,137.589996,137.979996,127,131.399994,129.617722,200119000,1401
2020-09-03,126.910004,128.839996,120.5,120.879997,119.240402,257599600,1402
2020-09-04,120.07,123.699997,110.889999,120.959999,119.319328,332607200,1403
2020-09-08,113.949997,118.989998,112.68,112.82,111.289742,231366600,1404
2020-09-09,117.260002,119.139999,115.260002,117.32,115.728699,176940500,1405
2020-09-10,120.360001,120.5,112.5,113.489998,111.950638,182274400,1406
2020-09-11,114.57,115.230003,110,112,110.480858,180860300,1407
2020-09-14,114.720001,115.93,112.800003,115.360001,113.795273,140150100,1408
2020-09-15,118.330002,118.830002,113.610001,115.540001,113.972832,184642000,1409
2020-09-16,115.230003,116,112.040001,112.129997,110.609085,154679000,1410
2020-09-17,109.720001,112.199997,108.709999,110.339996,108.843353,178011000,1411
2020-09-18,110.400002,110.879997,106.089996,106.839996,105.390846,287104900,1412
2020-09-21,104.540001,110.190002,103.099998,110.080002,108.586899,195713800,1413
2020-09-22,112.68,112.860001,109.160004,111.809998,110.293427,183055400,1414
2020-09-23,111.620003,112.110001,106.769997,107.120003,105.667046,150718700,1415
2020-09-24,105.169998,110.25,105,108.220001,106.752129,167743300,1416
2020-09-25,108.43,112.440002,107.669998,112.279999,110.75705,149981400,1417
2020-09-28,115.010002,115.32,112.779999,114.959999,113.400703,137672400,1418
2020-09-29,114.550003,115.309998,113.57,114.089996,112.542496,99382200,1419
2020-09-30,113.790001,117.260002,113.620003,115.809998,114.239166,142675200,1420
2020-10-01,117.639999,117.720001,115.830002,116.790001,115.205872,116120400,1421
2020-10-02,112.889999,115.370003,112.220001,113.019997,111.487,144712000,1422
2020-10-05,113.910004,116.650002,113.550003,116.5,114.919815,106243800,1423
2020-10-06,115.699997,116.120003,112.25,113.160004,111.625122,161498200,1424
2020-10-07,114.620003,115.550003,114.129997,115.080002,113.519089,96849000,1425
2020-10-08,116.25,116.400002,114.589996,114.970001,113.410561,83477200,1426
2020-10-09,115.279999,117,114.919998,116.970001,115.383446,100506900,1427
2020-10-12,120.059998,125.18,119.279999,124.400002,122.712669,240226800,1428
2020-10-13,125.269997,125.389999,119.650002,121.099998,119.457428,262330500,1429
2020-10-14,121,123.029999,119.620003,121.190002,119.546211,150712000,1430
2020-10-15,118.720001,121.199997,118.150002,120.709999,119.072716,112559200,1431
2020-10-16,121.279999,121.550003,118.809998,119.019997,117.405632,115393800,1432
2020-10-19,119.959999,120.419998,115.660004,115.980003,114.406883,120639300,1433
2020-10-20,116.199997,118.980003,115.629997,117.510002,115.916115,124423700,1434
2020-10-21,116.669998,118.709999,116.449997,116.870003,115.284798,89946000,1435
2020-10-22,117.449997,118.040001,114.589996,115.75,114.179993,101988000,1436
2020-10-23,116.389999,116.550003,114.279999,115.040001,113.47963,82572600,1437
2020-10-26,114.010002,116.550003,112.879997,115.050003,113.489502,111850700,1438
